time	Eall.5	Eall1.0	Eall2.0	Eall4.0	Eall6.0	Eall8.0
40.5	0.000202	0.000404	0.000807	0.00161	0.0024	0.00318
41	0.000205	0.000409	0.000817	0.00163	0.00243	0.00322
41.5	0.000207	0.000414	0.000827	0.00165	0.00246	0.00326
42	0.00021	0.000419	0.000837	0.00167	0.00249	0.0033
42.5	0.000212	0.000424	0.000846	0.00169	0.00252	0.00334
43	0.000215	0.000429	0.000856	0.0017	0.00255	0.00338
43.5	0.000217	0.000434	0.000866	0.00172	0.00257	0.00342
44	0.00022	0.000439	0.000876	0.00174	0.0026	0.00346
44.5	0.000222	0.000444	0.000886	0.00176	0.00263	0.00349
45	0.000225	0.000449	0.000896	0.00178	0.00266	0.00353
45.5	0.000227	0.000454	0.000906	0.0018	0.00269	0.00357
46	0.00023	0.000459	0.000916	0.00182	0.00272	0.00361
46.5	0.000232	0.000464	0.000926	0.00184	0.00275	0.00365
47	0.000235	0.000469	0.000936	0.00186	0.00278	0.00369
47.5	0.000237	0.000474	0.000946	0.00188	0.00281	0.00373
48	0.00024	0.000479	0.000956	0.0019	0.00284	0.00377
48.5	0.000242	0.000484	0.000966	0.00192	0.00287	0.00381
49	0.000245	0.000489	0.000976	0.00194	0.0029	0.00385
49.5	0.000247	0.000494	0.000986	0.00196	0.00293	0.00389
50	0.00025	0.000499	0.000996	0.00198	0.00296	0.00392
50.5	0.000252	0.000504	0.00101	0.002	0.00299	0.00396
51	0.000255	0.000509	0.00102	0.00202	0.00302	0.004
51.5	0.000257	0.000514	0.00103	0.00204	0.00305	0.00404
52	0.00026	0.000519	0.00104	0.00206	0.00308	0.00408
52.5	0.000262	0.000524	0.00105	0.00208	0.00311	0.00412
53	0.000265	0.000529	0.00106	0.0021	0.00313	0.00416
53.5	0.000267	0.000534	0.00107	0.00212	0.00316	0.0042
54	0.00027	0.000539	0.00108	0.00214	0.00319	0.00424
54.5	0.000272	0.000544	0.00109	0.00216	0.00322	0.00427
55	0.000275	0.000549	0.0011	0.00218	0.00325	0.00431
55.5	0.000277	0.000554	0.00111	0.0022	0.00328	0.00435
56	0.00028	0.000559	0.00112	0.00222	0.00331	0.00439
56.5	0.000282	0.000564	0.00113	0.00224	0.00334	0.00443
57	0.000285	0.000569	0.00114	0.00226	0.00337	0.00447
57.5	0.000287	0.000574	0.00114	0.00228	0.0034	0.00451
58	0.00029	0.000579	0.00115	0.0023	0.00343	0.00455
58.5	0.000292	0.000584	0.00116	0.00232	0.00346	0.00459
59	0.000295	0.000589	0.00117	0.00234	0.00349	0.00463
59.5	0.000297	0.000594	0.00118	0.00236	0.00352	0.00466
60	0.0003	0.000599	0.00119	0.00238	0.00355	0.0047
60.5	0.000302	0.000604	0.0012	0.0024	0.00358	0.00474
61	0.000305	0.000609	0.00121	0.00242	0.00361	0.00478
61.5	0.000307	0.000614	0.00122	0.00244	0.00363	0.00482
62	0.00031	0.000619	0.00123	0.00246	0.00366	0.00486
62.5	0.000312	0.000624	0.00124	0.00248	0.00369	0.0049
63	0.000315	0.000629	0.00125	0.0025	0.00372	0.00494
63.5	0.000317	0.000634	0.00126	0.00251	0.00375	0.00498
64	0.00032	0.000639	0.00127	0.00253	0.00378	0.00501
64.5	0.000322	0.000644	0.00128	0.00255	0.00381	0.00505
65	0.000325	0.000649	0.00129	0.00257	0.00384	0.00509
65.5	0.000327	0.000654	0.0013	0.00259	0.00387	0.00513
66	0.00033	0.000659	0.00131	0.00261	0.0039	0.00517
66.5	0.000332	0.000664	0.00132	0.00263	0.00393	0.00521
67	0.000335	0.000669	0.00133	0.00265	0.00396	0.00525
67.5	0.000337	0.000674	0.00134	0.00267	0.00399	0.00529
68	0.00034	0.000679	0.00135	0.00269	0.00402	0.00533
68.5	0.000342	0.000684	0.00136	0.00271	0.00405	0.00536
69	0.000345	0.000689	0.00137	0.00273	0.00407	0.0054
69.5	0.000347	0.000694	0.00138	0.00275	0.0041	0.00544
70	0.00035	0.000699	0.00139	0.00277	0.00413	0.00548
70.5	0.000352	0.000704	0.0014	0.00279	0.00416	0.00552
71	0.000355	0.000709	0.00141	0.00281	0.00419	0.00556
71.5	0.000357	0.000714	0.00142	0.00283	0.00422	0.0056
72	0.00036	0.000719	0.00143	0.00285	0.00425	0.00564
72.5	0.000362	0.000724	0.00144	0.00287	0.00428	0.00567
73	0.000365	0.000729	0.00145	0.00289	0.00431	0.00571
73.5	0.000367	0.000734	0.00146	0.00291	0.00434	0.00575
74	0.00037	0.000739	0.00147	0.00293	0.00437	0.00579
74.5	0.000372	0.000744	0.00148	0.00295	0.0044	0.00583
75	0.000375	0.000748	0.00149	0.00297	0.00443	0.00587
75.5	0.000377	0.000753	0.0015	0.00299	0.00446	0.00591
76	0.00038	0.000758	0.00151	0.00301	0.00449	0.00595
76.5	0.000382	0.000763	0.00152	0.00303	0.00451	0.00598
77	0.000385	0.000768	0.00153	0.00305	0.00454	0.00602
77.5	0.000387	0.000773	0.00154	0.00307	0.00457	0.00606
78	0.00039	0.000778	0.00155	0.00309	0.0046	0.0061
78.5	0.000392	0.000783	0.00156	0.00311	0.00463	0.00614
79	0.000395	0.000788	0.00157	0.00313	0.00466	0.00618
79.5	0.000397	0.000793	0.00158	0.00315	0.00469	0.00622
80	0.0004	0.000798	0.00159	0.00317	0.00472	0.00626
80.5	0.000402	0.000803	0.0016	0.00319	0.00475	0.00629
81	0.000405	0.000808	0.00161	0.0032	0.00478	0.00633
81.5	0.000407	0.000813	0.00162	0.00322	0.00481	0.00637
82	0.00041	0.000818	0.00163	0.00324	0.00484	0.00641
82.5	0.000412	0.000823	0.00164	0.00326	0.00487	0.00645
83	0.000415	0.000828	0.00165	0.00328	0.0049	0.00649
83.5	0.000417	0.000833	0.00166	0.0033	0.00492	0.00653
84	0.00042	0.000838	0.00167	0.00332	0.00495	0.00656
84.5	0.000422	0.000843	0.00168	0.00334	0.00498	0.0066
85	0.000425	0.000848	0.00169	0.00336	0.00501	0.00664
85.5	0.000427	0.000853	0.0017	0.00338	0.00504	0.00668
86	0.00043	0.000858	0.00171	0.0034	0.00507	0.00672
86.5	0.000432	0.000863	0.00172	0.00342	0.0051	0.00676
87	0.000435	0.000868	0.00173	0.00344	0.00513	0.0068
87.5	0.000437	0.000873	0.00174	0.00346	0.00516	0.00684
88	0.00044	0.000878	0.00175	0.00348	0.00519	0.00687
88.5	0.000442	0.000883	0.00176	0.0035	0.00522	0.00691
89	0.000445	0.000888	0.00177	0.00352	0.00525	0.00695
89.5	0.000447	0.000893	0.00178	0.00354	0.00528	0.00699
90	0.00045	0.000898	0.00179	0.00356	0.0053	0.00703
90.5	0.000452	0.000903	0.0018	0.00358	0.00533	0.00707
91	0.000455	0.000908	0.00181	0.0036	0.00536	0.00711
91.5	0.000457	0.000913	0.00182	0.00362	0.00539	0.00714
92	0.00046	0.000918	0.00183	0.00364	0.00542	0.00718
92.5	0.000462	0.000923	0.00184	0.00366	0.00545	0.00722
93	0.000465	0.000928	0.00185	0.00368	0.00548	0.00726
93.5	0.000467	0.000933	0.00186	0.0037	0.00551	0.0073
94	0.00047	0.000938	0.00187	0.00372	0.00554	0.00734
94.5	0.000472	0.000943	0.00188	0.00374	0.00557	0.00738
95	0.000475	0.000948	0.00189	0.00376	0.0056	0.00741
95.5	0.000477	0.000953	0.0019	0.00378	0.00563	0.00745
96	0.00048	0.000958	0.00191	0.00379	0.00566	0.00749
96.5	0.000482	0.000963	0.00192	0.00381	0.00568	0.00753
97	0.000485	0.000968	0.00193	0.00383	0.00571	0.00757
97.5	0.000487	0.000973	0.00194	0.00385	0.00574	0.00761
98	0.00049	0.000978	0.00195	0.00387	0.00577	0.00765
98.5	0.000492	0.000983	0.00196	0.00389	0.0058	0.00768
99	0.000495	0.000988	0.00197	0.00391	0.00583	0.00772
99.5	0.000497	0.000993	0.00198	0.00393	0.00586	0.00776
100	0.0005	0.000998	0.00199	0.00395	0.00589	0.0078
100.5	0.000502	0.001	0.002	0.00397	0.00592	0.00784
101	0.000505	0.00101	0.00201	0.00399	0.00595	0.00788
101.5	0.000507	0.00101	0.00202	0.00401	0.00598	0.00791
102	0.00051	0.00102	0.00203	0.00403	0.00601	0.00795
102.5	0.000512	0.00102	0.00204	0.00405	0.00603	0.00799
103	0.000515	0.00103	0.00205	0.00407	0.00606	0.00803
103.5	0.000517	0.00103	0.00206	0.00409	0.00609	0.00807
104	0.00052	0.00104	0.00207	0.00411	0.00612	0.00811
104.5	0.000522	0.00104	0.00208	0.00413	0.00615	0.00815
105	0.000525	0.00105	0.00209	0.00415	0.00618	0.00818
105.5	0.000527	0.00105	0.0021	0.00417	0.00621	0.00822
106	0.00053	0.00106	0.00211	0.00419	0.00624	0.00826
106.5	0.000532	0.00106	0.00212	0.00421	0.00627	0.0083
107	0.000535	0.00107	0.00213	0.00423	0.0063	0.00834
107.5	0.000537	0.00107	0.00214	0.00425	0.00633	0.00838
108	0.00054	0.00108	0.00215	0.00427	0.00635	0.00841
108.5	0.000542	0.00108	0.00216	0.00429	0.00638	0.00845
109	0.000545	0.00109	0.00217	0.00431	0.00641	0.00849
109.5	0.000547	0.00109	0.00218	0.00432	0.00644	0.00853
110	0.00055	0.0011	0.00219	0.00434	0.00647	0.00857
110.5	0.000552	0.0011	0.0022	0.00436	0.0065	0.00861
111	0.000555	0.00111	0.00221	0.00438	0.00653	0.00864
111.5	0.000557	0.00111	0.00222	0.0044	0.00656	0.00868
112	0.00056	0.00112	0.00223	0.00442	0.00659	0.00872
112.5	0.000562	0.00112	0.00224	0.00444	0.00662	0.00876
113	0.000565	0.00113	0.00225	0.00446	0.00665	0.0088
113.5	0.000567	0.00113	0.00226	0.00448	0.00668	0.00884
114	0.00057	0.00114	0.00227	0.0045	0.0067	0.00888
114.5	0.000572	0.00114	0.00228	0.00452	0.00673	0.00891
115	0.000575	0.00115	0.00229	0.00454	0.00676	0.00895
115.5	0.000577	0.00115	0.0023	0.00456	0.00679	0.00899
116	0.00058	0.00116	0.00231	0.00458	0.00682	0.00903
116.5	0.000582	0.00116	0.00232	0.0046	0.00685	0.00907
117	0.000585	0.00117	0.00233	0.00462	0.00688	0.00911
117.5	0.000587	0.00117	0.00234	0.00464	0.00691	0.00914
118	0.00059	0.00118	0.00235	0.00466	0.00694	0.00918
118.5	0.000592	0.00118	0.00236	0.00468	0.00697	0.00922
119	0.000595	0.00119	0.00237	0.0047	0.00699	0.00926
119.5	0.000597	0.00119	0.00238	0.00472	0.00702	0.0093
120	0.0006	0.0012	0.00239	0.00474	0.00705	0.00933
120.5	0.000602	0.0012	0.0024	0.00476	0.00708	0.00937
121	0.000605	0.00121	0.00241	0.00478	0.00711	0.00941
121.5	0.000607	0.00121	0.00242	0.0048	0.00714	0.00945
122	0.00061	0.00122	0.00242	0.00481	0.00717	0.00949
122.5	0.000612	0.00122	0.00243	0.00483	0.0072	0.00953
123	0.000615	0.00123	0.00244	0.00485	0.00723	0.00956
123.5	0.000617	0.00123	0.00245	0.00487	0.00726	0.0096
124	0.00062	0.00124	0.00246	0.00489	0.00729	0.00964
124.5	0.000622	0.00124	0.00247	0.00491	0.00731	0.00968
125	0.000625	0.00125	0.00248	0.00493	0.00734	0.00972
125.5	0.000627	0.00125	0.00249	0.00495	0.00737	0.00976
126	0.000629	0.00126	0.0025	0.00497	0.0074	0.00979
126.5	0.000632	0.00126	0.00251	0.00499	0.00743	0.00983
127	0.000634	0.00127	0.00252	0.00501	0.00746	0.00987
127.5	0.000637	0.00127	0.00253	0.00503	0.00749	0.00991
128	0.000639	0.00128	0.00254	0.00505	0.00752	0.00995
128.5	0.000642	0.00128	0.00255	0.00507	0.00755	0.00998
129	0.000644	0.00129	0.00256	0.00509	0.00758	0.01
129.5	0.000647	0.00129	0.00257	0.00511	0.0076	0.0101
130	0.000649	0.0013	0.00258	0.00513	0.00763	0.0101
130.5	0.000652	0.0013	0.00259	0.00515	0.00766	0.0101
131	0.000654	0.00131	0.0026	0.00517	0.00769	0.0102
131.5	0.000657	0.00131	0.00261	0.00519	0.00772	0.0102
132	0.000659	0.00132	0.00262	0.00521	0.00775	0.0103
132.5	0.000662	0.00132	0.00263	0.00523	0.00778	0.0103
133	0.000664	0.00133	0.00264	0.00525	0.00781	0.0103
133.5	0.000667	0.00133	0.00265	0.00526	0.00784	0.0104
134	0.000669	0.00134	0.00266	0.00528	0.00787	0.0104
134.5	0.000672	0.00134	0.00267	0.0053	0.00789	0.0104
135	0.000674	0.00135	0.00268	0.00532	0.00792	0.0105
135.5	0.000677	0.00135	0.00269	0.00534	0.00795	0.0105
136	0.000679	0.00136	0.0027	0.00536	0.00798	0.0106
136.5	0.000682	0.00136	0.00271	0.00538	0.00801	0.0106
137	0.000684	0.00137	0.00272	0.0054	0.00804	0.0106
137.5	0.000687	0.00137	0.00273	0.00542	0.00807	0.0107
138	0.000689	0.00138	0.00274	0.00544	0.0081	0.0107
138.5	0.000692	0.00138	0.00275	0.00546	0.00813	0.0107
139	0.000694	0.00139	0.00276	0.00548	0.00815	0.0108
139.5	0.000697	0.00139	0.00277	0.0055	0.00818	0.0108
140	0.000699	0.0014	0.00278	0.00552	0.00821	0.0109
140.5	0.000702	0.0014	0.00279	0.00554	0.00824	0.0109
141	0.000704	0.00141	0.0028	0.00556	0.00827	0.0109
141.5	0.000707	0.00141	0.00281	0.00558	0.0083	0.011
142	0.000709	0.00142	0.00282	0.0056	0.00833	0.011
142.5	0.000712	0.00142	0.00283	0.00562	0.00836	0.0111
